recorder_code,clip id,annotation_file,card,site,dropoff:Point_ID,audio_file,annotation,start_time,end_time,low_f,high_f,Delta Time (s),Delta Freq (Hz),Channel,Selection,Notes,View,Avg Power Density (dB FS/Hz)
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,24.154304845,24.492556028,228.011,1492.932,0.3383,1264.92,1,3,,Spectrogram 1,-60.3
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,24.661681619,25.096575998,228.011,1514.647,0.4349,1286.636,1,4,,Spectrogram 1,-63.61
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,25.301942787,25.724756766,195.438,1482.074,0.4228,1286.636,1,5,,Spectrogram 1,-62.1
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,25.930123556,26.292535538,255.156,1378.926,0.3624,1123.77,1,6,,Spectrogram 1,-64.56
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,26.787831913,27.138163495,314.873,1351.782,0.3503,1036.909,1,7,,Spectrogram 1,-65.34
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,27.911309057,28.24956024,287.729,1568.936,0.3383,1281.207,1,8,,Spectrogram 1,-57.64
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_B,29.25223339,29.723368966,705.75,1791.518,0.4711,1085.769,1,9,,Spectrogram 1,-72.9
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_D,22.817260438,23.505843204,287.729,1406.07,0.6886,1118.342,1,10,,Spectrogram 1,-65.48
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,21.162245721,21.802506889,363.732,1492.932,0.6403,1129.199,1,11,,Spectrogram 1,-67.0
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,19.03031497,19.561852543,363.732,1194.345,0.5315,830.613,1,12,,Spectrogram 1,-67.58
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,17.037049069,17.532345445,309.444,1330.066,0.4953,1020.622,1,13,,Spectrogram 1,-65.88
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,14.872852433,15.192983017,293.158,1346.353,0.3201,1053.196,1,14,,Spectrogram 1,-62.87
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,12.994350327,13.465485904,374.59,1558.078,0.4711,1183.488,1,15,,Spectrogram 1,-60.01
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,11.528902505,11.867153688,309.444,1699.228,0.3383,1389.784,1,16,,Spectrogram 1,-67.37
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,9.916169186,10.345023365,380.019,1330.066,0.4289,950.047,1,17,,Spectrogram 1,-65.82
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,8.301532782,8.754547759,374.59,1270.349,0.453,895.759,1,18,,Spectrogram 1,-64.55
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,6.817796262,7.47013783,434.307,1601.509,0.6523,1167.201,1,19,,Spectrogram 1,-72.0
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,5.175198156,5.87586132,342.017,1699.228,0.7007,1357.211,1,20,,Spectrogram 1,-70.16
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_?,3.818051026,4.313347402,494.025,1568.936,0.4953,1074.911,1,21,,Spectrogram 1,-72.14
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,2.175116709,2.75497588,385.448,1259.492,0.5799,874.044,1,22,,Spectrogram 1,-69.67
M12-2263,143,20240623_210000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0143_MSD-4278_20240623_210000.WAV,RASI_C,0.797951177,1.027478766,418.021,1058.624,0.2295,640.603,1,23,,Spectrogram 1,-70.64
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_D,2.152617348,2.720669148,480.505,1026.533,0.5681,546.028,1,1,,Spectrogram 1,-67.71
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_?,4.171478435,4.786511963,529.648,1638.085,0.615,1108.438,1,2,,Spectrogram 1,-70.29
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_D,4.927457146,5.350292697,518.727,1523.419,0.4228,1004.692,1,3,,Spectrogram 1,-72.69
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_D,6.540482368,7.018841779,436.823,1086.597,0.4784,649.774,1,4,,Spectrogram 1,-65.91
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_D,8.48808854,8.85540023,469.584,1021.073,0.3673,551.489,1,5,,Spectrogram 1,-68.45
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_B,11.001420683,11.637809541,349.458,2282.399,0.6364,1932.941,1,6,,Spectrogram 1,-59.87
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_E,13.93331731,14.962644256,409.521,1752.751,1.0293,1343.23,1,8,,Spectrogram 1,-69.85
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_B,16.632123659,17.588842481,431.362,2047.607,0.9567,1616.244,1,9,,Spectrogram 1,-63.67
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_D,17.940930564,18.205736666,518.727,1037.454,0.2648,518.727,1,10,,Spectrogram 1,-68.19
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_D,23.747085543,24.011891646,491.426,971.931,0.2648,480.505,1,11,,Spectrogram 1,-67.86
M12-2263,144,20240623_000000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0144_MSD-4278_20240623_000000.WAV,RASI_?,27.081392712,27.359012013,469.584,879.106,0.2776,409.521,1,12,,Spectrogram 1,-68.72
M12-2636,581,20240607_230000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0581_MSD-1762_20240607_230000.WAV,RASI_?,24.334967683,24.510415047,447.406,925.667,0.1754,478.261,1,1,,Spectrogram 1,-69.86
M12-2636,581,20240607_230000,MSD-1762,Matlock 50837,SINE0031,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0581_MSD-1762_20240607_230000.WAV,RASI_?,27.221874316,27.445170962,437.121,838.243,0.2233,401.122,1,2,,Spectrogram 1,-70.33
M12-2541,170,20240514_010000,MSD-1198,,SINE0168,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0170_MSD-1198_20240514_010000.WAV,RASI_?,3.54084681,4.067188903,365.124,1841.049,0.5263,1475.925,1,1,,Spectrogram 1,-58.25
M12-2541,170,20240514_010000,MSD-1198,,SINE0168,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0170_MSD-1198_20240514_010000.WAV,RASI_?,21.075089868,21.529658039,251.987,1820.479,0.4546,1568.491,1,2,,Spectrogram 1,-58.43
M12-2541,170,20240514_010000,MSD-1198,,SINE0168,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0170_MSD-1198_20240514_010000.WAV,,25.301776375,25.820143588,174.848,1856.477,0.5184,1681.628,1,3,,Spectrogram 1,-55.8
M12-2564,316,20240502_040000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0316_MSD-4160_20240502_040000.WAV,RASI_D,14.020728514,14.307824201,467.976,817.673,0.2871,349.696,1,1,,Spectrogram 1,-64.55
M12-2564,316,20240502_040000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0316_MSD-4160_20240502_040000.WAV,RASI_D,21.324024086,21.786567137,262.272,920.524,0.4625,658.252,1,2,,Spectrogram 1,-59.39
M12-2263,154,20240623_030000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0154_MSD-4278_20240623_030000.WAV,RASI_?,16.192121038,17.005558818,365.124,1049.089,0.8134,683.965,1,1,,Spectrogram 1,-71.29
M12-2263,154,20240623_030000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0154_MSD-4278_20240623_030000.WAV,RASI_?,24.936842378,25.511033753,262.272,1763.91,0.5742,1501.638,1,2,,Spectrogram 1,-71.61
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,0.861287062,1.252056192,267.415,1074.802,0.3908,807.387,1,1,,Spectrogram 1,-70.22
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_E,2.209041816,2.615760706,272.558,977.093,0.4067,704.535,1,2,,Spectrogram 1,-67.38
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_?,3.205901841,3.54084681,529.687,1069.66,0.3349,539.972,1,3,,Spectrogram 1,-71.7
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,3.979465221,4.33035995,524.545,987.378,0.3509,462.834,1,4,,Spectrogram 1,-72.71
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_?,5.391019017,5.717989105,565.685,966.808,0.327,401.122,1,5,,Spectrogram 1,-70.99
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,6.140657756,6.435728323,236.559,966.808,0.2951,730.248,1,6,,Spectrogram 1,-69.11
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_E,6.722824011,7.07371874,277.7,956.523,0.3509,678.823,1,7,,Spectrogram 1,-69.85
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,7.608035713,7.847282119,231.417,1018.234,0.2392,786.817,1,8,,Spectrogram 1,-64.97
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_E,8.485272535,8.820217504,210.846,1013.091,0.3349,802.245,1,9,,Spectrogram 1,-66.73
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,9.912911348,10.263806077,205.704,1110.8,0.3509,905.097,1,10,,Spectrogram 1,-61.75
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,11.348389784,11.603585951,221.132,935.952,0.2552,714.821,1,11,,Spectrogram 1,-69.59
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,12.496772533,12.783868221,262.272,930.81,0.2871,668.537,1,12,,Spectrogram 1,-72.33
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,13.381984236,13.653130163,257.13,1002.806,0.2711,745.676,1,13,,Spectrogram 1,-69.82
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,14.139597855,14.474542824,246.845,946.237,0.3349,699.393,1,14,,Spectrogram 1,-72.65
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,15.862845279,16.165890727,257.13,966.808,0.303,709.678,1,15,,Spectrogram 1,-68.85
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,16.851730424,17.146800992,236.559,1038.804,0.2951,802.245,1,16,,Spectrogram 1,-65.56
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,18.833735134,19.184629863,221.132,1007.949,0.3509,786.817,1,17,,Spectrogram 1,-73.33
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,19.918318841,20.221364289,287.985,971.95,0.303,683.965,1,18,,Spectrogram 1,-71.72
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_?,21.112819702,21.439789791,272.558,920.524,0.327,647.967,1,19,,Spectrogram 1,-72.44
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,23.563871059,23.890841147,195.419,1167.369,0.327,971.95,1,20,,Spectrogram 1,-54.65
M12-2318,451,20240620_230000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0451_MSD-2334_20240620_230000.WAV,RASI_A,26.671347641,26.982367969,226.274,1177.654,0.311,951.38,1,21,,Spectrogram 1,-65.42
M12-2564,324,20240502_050000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0324_MSD-4160_20240502_050000.WAV,u,23.700000304,24.983956017,390.837,812.53,1.284,421.693,1,1,,Spectrogram 1,-60.02
M12-2564,324,20240502_050000,MSD-4160,,SINE0167,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0324_MSD-4160_20240502_050000.WAV,u,26.860537876,28.016895506,401.122,863.956,1.1564,462.834,1,2,,Spectrogram 1,-57.79
M12-2468,390,20240624_160000,MSD-0225,Rivendell_,SINE0144,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0390_MSD-0225_20240624_160000.WAV,RASI_?,11.863437543,12.365854996,761.104,1198.225,0.5024,437.121,1,1,,Spectrogram 1,-73.54
M12-2468,390,20240624_160000,MSD-0225,Rivendell_,SINE0144,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0390_MSD-0225_20240624_160000.WAV,RASI_?,13.629681224,14.554767327,766.247,1157.084,0.9251,390.837,1,2,,Spectrogram 1,-74.27
M12-2468,390,20240624_160000,MSD-0225,Rivendell_,SINE0144,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0390_MSD-0225_20240624_160000.WAV,RASI_?,21.284050866,22.408508975,560.543,1085.087,1.1245,524.545,1,3,,Spectrogram 1,-72.54
M12-2468,390,20240624_160000,MSD-0225,Rivendell_,SINE0144,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0390_MSD-0225_20240624_160000.WAV,RASI_?,23.543983258,24.628566965,524.545,1054.232,1.0846,529.687,1,4,,Spectrogram 1,-73.57
M12-2468,390,20240624_160000,MSD-0225,Rivendell_,SINE0144,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0390_MSD-0225_20240624_160000.WAV,RASI_B,26.25271583,28.788727735,529.687,1393.643,2.536,863.956,1,5,,Spectrogram 1,-69.45
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,0.338251183,0.616100369,409.521,1015.613,0.2778,606.092,1,1,,Spectrogram 1,-68.98
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,2.561044672,3.273788236,442.283,1212.183,0.7127,769.9,1,2,,Spectrogram 1,-71.15
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,5.617385719,6.245566487,267.554,1452.436,0.6282,1184.882,1,3,,Spectrogram 1,-68.16
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,6.426772478,7.175757241,365.839,1173.961,0.749,808.122,1,4,,Spectrogram 1,-69.83
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,7.477767226,8.154269592,414.982,1223.104,0.6765,808.122,1,5,,Spectrogram 1,-69.59
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,9.024058348,9.579756721,524.187,1015.613,0.5557,491.426,1,6,,Spectrogram 1,-73.27
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,11.504495784,11.818586168,578.79,1228.564,0.3141,649.774,1,7,,Spectrogram 1,-70.43
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,9.837400668,10.39309904,475.045,982.851,0.5557,507.806,1,8,,Spectrogram 1,-70.68
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,10.755511022,11.105842604,540.568,944.629,0.3503,404.061,1,9,,Spectrogram 1,-69.15
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,13.570244081,13.884334465,245.713,944.629,0.3141,698.916,1,10,,Spectrogram 1,-65.1
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,14.512515234,15.031972408,371.299,1026.533,0.5195,655.234,1,11,,Spectrogram 1,-64.65
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,15.454786387,16.058806356,240.252,1021.073,0.604,780.821,1,12,,Spectrogram 1,-65.72
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,16.868193116,17.206444299,322.157,1021.073,0.3383,698.916,1,13,,Spectrogram 1,-67.46
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,17.878566952,18.953722498,283.935,1840.116,1.0752,1556.181,1,14,,Spectrogram 1,-68.56
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_D,19.618144464,20.137601638,234.792,2211.415,0.5195,1976.623,1,15,,Spectrogram 1,-65.54
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,20.318807629,20.934907999,141.967,1113.898,0.6161,971.931,1,16,,Spectrogram 1,-66.72
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,22.686565911,23.169781887,491.426,1927.48,0.4832,1436.055,1,17,,Spectrogram 1,-70.49
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,25.2160549,25.80799447,436.823,1184.882,0.5919,748.059,1,18,,Spectrogram 1,-70.54
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,26.267049647,26.834828419,376.76,1179.421,0.5678,802.662,1,19,,Spectrogram 1,-68.53
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_C,29.464360476,29.923415653,447.743,1173.961,0.4591,726.218,1,20,,Spectrogram 1,-70.17
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,27.495255375,27.954310552,535.108,1288.627,0.4591,753.519,1,21,,Spectrogram 1,-72.32
M12-2263,150,20240623_230000,MSD-4278,Rivendell_,SINE0143,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0150_MSD-4278_20240623_230000.WAV,RASI_?,28.19591854,28.510008924,491.426,1173.961,0.3141,682.536,1,22,,Spectrogram 1,-74.19
M12-2639,725,20240616_230000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0725_MSD-2357_20240616_230000.WAV,RASI_E,5.90938623,6.340029761,323.983,1059.375,0.4306,735.391,1,1,,Spectrogram 1,-64.3
M12-2639,725,20240616_230000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0725_MSD-2357_20240616_230000.WAV,RASI_E,17.745473289,18.20004146,298.27,1275.364,0.4546,977.093,1,2,,Spectrogram 1,-54.14
M12-2639,725,20240616_230000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0725_MSD-2357_20240616_230000.WAV,RASI_A,20.92745049,21.190621536,272.558,1218.795,0.2632,946.237,1,3,,Spectrogram 1,-54.38
M12-2621,690,20240616_120000,MSD-1264,50731 Sleet,SINE0182,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0690_MSD-1264_20240616_120000.WAV,RASI_D,22.224746285,22.551716373,642.824,1239.365,0.327,596.541,1,1,,Spectrogram 1,-75.94
M12-2621,690,20240616_120000,MSD-1264,50731 Sleet,SINE0182,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0690_MSD-1264_20240616_120000.WAV,RASI_?,23.484777357,23.971245049,807.387,1136.513,0.4865,329.126,1,2,,Spectrogram 1,-75.4
M12-2639,742,20240616_100000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0742_MSD-2357_20240616_100000.WAV,u,4.433725133,4.835093935,266.0,654.7,,,1,1,,Spectrogram 1,
M12-2639,742,20240616_100000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0742_MSD-2357_20240616_100000.WAV,u,8.08338098,8.774108685,286.4,695.6,,,1,2,,Spectrogram 1,
M12-2639,742,20240616_100000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0742_MSD-2357_20240616_100000.WAV,RASI_?,28.880661611,29.151352198,327.3,920.6,,,1,7,,Spectrogram 1,
M12-2639,742,20240616_100000,MSD-2357,50731 Sleet,SINE0184,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0742_MSD-2357_20240616_100000.WAV,RASI_?,21.095973692,21.394666754,613.8,1329.8,,,1,3,,Spectrogram 1,
